playerID,fga,fgm,fgm_40_49,fgm_50_59,fgm_50p,fgm_lng,fgm_pct,fgm_yds,fgm_yds_over_30,gms_active,gp,kick_pts,pos_rank_half_ppr,pos_rank_ppr,pos_rank_std,pts_half_ppr,pts_ppr,pts_std,st_snp,tm_def_snp,tm_off_snp,tm_st_snp,xpa,xpm,def_snp,gs,idp_qb_hit,idp_tkl,idp_tkl_ast,idp_tkl_loss,idp_tkl_solo,misc_ret_yd,pts_idp,st_tkl_solo,off_snp,pr,pr_lng,pr_yd,pr_ypa,idp_pass_def,bonus_fd_wr,bonus_rec_wr,bonus_rec_yd_100,bonus_rush_rec_yd_100,rec,rec_10_19,rec_20_29,rec_30_39,rec_air_yd,rec_drop,rec_fd,rec_lng,rec_tgt,rec_yar,rec_yd,rec_ypr,rec_ypt,rush_rec_yd,rush_lng,rec_0_4,rec_td,pass_rush_yd,rush_fd,rush_att,rec_5_9,rush_ypa,rec_rz_tgt,rush_tkl_loss_yd,rush_yac,rec_td_lng,rush_rz_att,anytime_tds,rush_yd,bonus_rec_rb,bonus_fd_rb,rush_tkl_loss,sack,down_4_conv,rush_td_lng,qb_hit,down_4_pct,down_3_pct,pass_air_yd,kr_lng,penalty,down_3_conv,pass_sack_yds,rush_td,opp_rush_fd,pass_ypc,rush_btkl,pass_lng,off_yd_per_play,kr_ypa,opp_fd,pass_rtg,pass_att,ff,g2g_pct,rz_pct,kr,down_4_att,g2g_conv,kr_yd,rz_att,pass_rz_att,opp_off_yd_per_play,down_3_att,pass_sack,penalty_yd,punts,opp_pass_fd,opp_off_yd,pass_cmp,cmp_pct,fum_rec,g2g_att,tkl,pass_ypa,rz_conv,fd,pass_fd,pass_yd,pass_td,off_yd,td,fum,pass_td_lng,pass_int,fgmiss,int,bonus_fd_te,bonus_rec_te,bonus_pass_cmp_25,bonus_fd_qb,pass_inc,idp_sack,idp_sack_yd,idp_ff,def_forced_punts,def_pr_yd,sack_yd,tkl_ast,def_kr_yd,pts_allow,def_pr,fan_pts_allow_k,def_st_tkl_solo,def_pr_ypa,def_kr_ypa,yds_allow_200_299,pts_allow_14_20,def_pr_lng,tkl_solo_misc,yds_allow,fan_pts_allow_def,def_kr,def_kr_lng,def_3_and_out,fan_pts_allow_qb,fan_pts_allow_wr,tkl_loss,def_pass_def,fan_pts_allow_te,tkl_solo,fan_pts_allow,fan_pts_allow_rb,punt_net_yd,punt_tb,punt_yds,yds_allow_350_399,int_ret_yd,rec_40p,bonus_tkl_10p,idp_blk_kick,fum_lost,pass_cmp_40p,punt_in_20,st_ff,fgm_20_29,fgm_30_39,xpmiss,yds_allow_450_499,pts_allow_35p,fgmiss_40_49,idp_pass_def_3p,fg_blkd,bonus_pass_yd_300,pass_2pt,idp_int,idp_int_ret_yd,def_4_and_stop,def_st_fum_rec,pts_allow_28_34,def_st_ff,fum_ret_yd,pts_allow_7_13,bonus_sack_2p,first_td,rush_40p,yds_allow_300_349,blk_kick_ret_yd,blk_kick,fgmiss_20_29,fgmiss_30_39,idp_fum_rec,pts_allow_21_27,pts_allow_1_6,idp_fum_ret_yd,bonus_rush_yd_100,rush_td_40p,bonus_def_int_td_50p,idp_def_td,yds_allow_100_199,bonus_rush_att_20,pass_int_td,st_fum_rec,rec_2pt,pass_td_40p,pass_td_50p,rec_td_40p,rec_td_50p,fgm_60p,yds_allow_400_449,tkl_ast_misc,def_td,fgmiss_50_59,fgmiss_50p
TEAM_TEN,4.0,4.0,,,,50.0,,160.0,,,1.0,,999,999,999,34.78,40.78,28.78,,,,,,,,,,,,,,,,5.0,,1.0,12.0,12.0,12.0,,,,,,12.0,,,,48.0,5.0,,29.0,25.0,64.0,112.0,9.33,4.48,,9.0,,,,2.0,21.0,,3.38,,-1.0,33.0,,5.0,,71.0,,,1.0,1.0,,,5.0,,14.29,48.0,71.0,13.0,2.0,50.0,,5.0,9.33,3.0,29.0,2.4,36.0,20.0,54.5,28.0,1.0,,,4.0,1.0,,144.0,2.0,,4.5,14.0,6.0,131.0,8.0,9.0,317.0,12.0,42.86,2.0,1.0,67.0,4.0,,7.0,5.0,112.0,,133.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8259,2.0,2.0,,,,39.0,100.0,75.0,15.0,1.0,1.0,9.0,999,999,999,9.0,9.0,9.0,11.0,61.0,65.0,25.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7839,1.0,1.0,,,,35.0,100.0,35.0,5.0,1.0,1.0,5.0,999,999,999,5.0,5.0,5.0,7.0,76.0,52.0,23.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10937,3.0,1.0,,,,32.0,33.33,32.0,2.0,1.0,1.0,5.0,999,999,999,3.0,3.0,3.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
6650,2.0,1.0,1.0,,,48.0,50.0,48.0,18.0,1.0,1.0,5.0,999,999,999,4.0,4.0,4.0,10.0,76.0,58.0,27.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11261,2.0,1.0,1.0,,,45.0,50.0,45.0,15.0,1.0,1.0,4.0,999,999,999,3.0,3.0,3.0,8.0,52.0,76.0,23.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
TEAM_GB,2.0,2.0,,,,38.0,,72.0,,,1.0,,999,999,999,74.12,82.12,66.12,,,,,,,,,,,,,,,,2.0,,3.0,20.0,32.0,10.67,,,,,,16.0,,,,149.0,,,48.0,22.0,39.0,188.0,11.75,8.55,,15.0,,2.0,,4.0,25.0,,3.12,6.0,-2.0,25.0,17.0,7.0,,78.0,,,2.0,4.0,1.0,3.0,9.0,100.0,40.0,149.0,21.0,4.0,4.0,,1.0,2.0,11.75,1.0,48.0,5.7,19.5,16.0,128.6,22.0,,100.0,60.0,2.0,1.0,1.0,39.0,5.0,6.0,3.8,10.0,,40.0,3.0,13.0,246.0,16.0,72.73,,1.0,72.0,8.55,3.0,14.0,8.0,188.0,2.0,266.0,3.0,,17.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4195,1.0,1.0,,1.0,1.0,58.0,100.0,58.0,28.0,1.0,1.0,6.0,999,999,999,8.0,8.0,8.0,9.0,61.0,63.0,22.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAM_ATL,3.0,2.0,,,,41.0,,77.0,,,1.0,,999,999,999,78.12,91.62,64.62,,,,,,,,,,,,,,,,4.0,,2.0,17.0,29.0,14.5,,,,,,27.0,,,,109.0,2.0,,50.0,42.0,189.0,298.0,11.04,7.1,,12.0,,1.0,,4.0,28.0,,2.46,2.0,-10.0,35.0,50.0,8.0,,69.0,,,5.0,1.0,3.0,4.0,3.0,75.0,40.0,109.0,29.0,8.0,6.0,9.0,1.0,5.0,11.04,,50.0,5.0,25.0,16.0,93.2,42.0,,100.0,50.0,5.0,4.0,1.0,125.0,2.0,2.0,4.6,15.0,1.0,55.0,3.0,10.0,260.0,27.0,64.29,,1.0,49.0,7.1,1.0,23.0,16.0,298.0,1.0,358.0,2.0,1.0,50.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAM_HOU,3.0,3.0,,,,53.0,,149.0,,,1.0,,999,999,999,50.22,59.72,40.72,,,,,,,,,,,,,,,,4.0,,2.0,10.0,20.0,10.0,,,,,,19.0,,,,115.0,1.0,,23.0,27.0,73.0,188.0,9.89,6.96,,14.0,,,,8.0,27.0,,4.22,1.0,,47.0,,2.0,,114.0,,,,3.0,1.0,,6.0,100.0,22.22,115.0,11.0,11.0,2.0,37.0,,3.0,9.89,,23.0,4.6,11.0,18.0,74.3,27.0,1.0,,,1.0,1.0,,11.0,1.0,1.0,5.2,9.0,3.0,80.0,4.0,13.0,296.0,19.0,70.37,1.0,,56.0,6.96,,18.0,7.0,188.0,,265.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAM_CHI,2.0,1.0,,,,42.0,,42.0,,,1.0,,999,999,999,69.8,80.3,59.3,,,,,,,,,,,,,,,,5.0,,4.0,22.0,37.0,9.25,,,,,,21.0,,,,133.0,1.0,,31.0,34.0,77.0,210.0,10.0,6.18,,13.0,,1.0,,7.0,26.0,,4.58,2.0,-4.0,38.0,1.0,3.0,,119.0,,,2.0,3.0,,9.0,5.0,,25.0,133.0,44.0,12.0,3.0,12.0,1.0,6.0,10.0,1.0,31.0,5.0,31.25,14.0,86.6,35.0,,100.0,100.0,4.0,1.0,1.0,125.0,2.0,2.0,5.2,12.0,2.0,127.0,6.0,5.0,254.0,21.0,60.0,,1.0,47.0,6.0,2.0,20.0,10.0,210.0,1.0,317.0,3.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAM_LAC,2.0,2.0,,,,39.0,,75.0,,,1.0,,999,999,999,98.02,110.52,85.52,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,25.0,,,,184.0,,,33.0,34.0,134.0,318.0,12.72,9.35,,19.0,,3.0,,6.0,25.0,,3.6,3.0,-3.0,27.0,23.0,2.0,,90.0,,,3.0,2.0,1.0,,8.0,100.0,53.85,184.0,25.0,6.0,7.0,14.0,,8.0,12.72,3.0,33.0,6.4,22.33,18.0,131.7,34.0,,,50.0,3.0,1.0,,67.0,4.0,3.0,6.0,13.0,3.0,49.0,2.0,9.0,347.0,25.0,73.53,,,49.0,9.35,2.0,22.0,16.0,318.0,3.0,394.0,3.0,1.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3.0,3.0,1.0,,,43.0,100.0,100.0,15.0,1.0,1.0,11.0,999,999,999,12.0,12.0,12.0,13.0,51.0,85.0,35.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11792,2.0,2.0,,1.0,1.0,59.0,100.0,90.0,30.0,1.0,1.0,7.0,999,999,999,9.0,9.0,9.0,9.0,67.0,56.0,32.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAM_KC,3.0,3.0,,,,59.0,,121.0,,,1.0,,999,999,999,77.92,89.92,65.92,,,,,,,,,,,,,,,,1.0,,2.0,8.0,7.0,3.5,,,,,,24.0,,,,142.0,1.0,,49.0,38.0,116.0,258.0,10.75,6.79,,15.0,,1.0,,8.0,17.0,,5.76,5.0,,19.0,37.0,1.0,,98.0,,,,3.0,3.0,11.0,4.0,100.0,35.71,142.0,42.0,10.0,5.0,9.0,1.0,6.0,10.75,1.0,49.0,6.0,29.4,22.0,89.5,39.0,1.0,,33.33,5.0,3.0,,147.0,3.0,5.0,6.4,14.0,2.0,71.0,3.0,16.0,394.0,24.0,61.54,,2.0,55.0,6.62,1.0,18.0,9.0,258.0,1.0,347.0,2.0,1.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAM_CLE,2.0,1.0,,,,45.0,,45.0,,,1.0,,999,999,999,77.0,92.5,61.5,,,,,,,,,,,,,,,,4.0,,3.0,15.0,41.0,13.67,,,,,,31.0,,,,117.0,3.0,,25.0,42.0,173.0,290.0,9.35,6.9,,5.0,,1.0,,5.0,24.0,,2.04,3.0,-1.0,14.0,5.0,6.0,,49.0,,,1.0,3.0,2.0,1.0,7.0,66.67,56.25,117.0,29.0,7.0,9.0,12.0,1.0,3.0,9.35,4.0,25.0,4.6,26.25,11.0,75.2,45.0,,100.0,66.67,4.0,3.0,2.0,105.0,3.0,4.0,2.9,16.0,2.0,53.0,2.0,7.0,141.0,31.0,68.89,,2.0,51.0,6.44,2.0,22.0,13.0,290.0,1.0,327.0,2.0,,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,2.0,2.0,,1.0,2.0,60.0,100.0,116.0,56.0,1.0,1.0,10.0,999,999,999,14.0,14.0,14.0,13.0,64.0,56.0,31.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
